Client,Address,Expiration Date,Status,Premium,VIN,State,Manufacturer,Car Model,Autonomous Software,Sensors,Computing Units,Connectivity,Power System,Braking System,Steering System,Price,Policy Channel,Year,Mileage,Accident History,Ownership,Average Annual Mileage,Annual Mileage,Repair Records,Maintenance Records,Usage,Claim Records
Sandra Miller,"16389 Moore Groves
New Patrick, OR 20997",2024-09-21,Expired,148.51999999999998,1LXLYJAGFSAJ7SMYD,OR,BMW,BMW 7 Series,BMW iDrive,Camera + Radar,NVIDIA Orin,Wi-Fi Module,Battery Pack,Electronic Brake Booster,Steering Actuator,87000,4S Stores,2023,14077,0,Personal Ownership,7038,"[6636, 7441]",0,1,Personal,"[{'date': datetime.date(2021, 11, 15), 'amount': 4070.15}, {'date': datetime.date(2023, 4, 11), 'amount': 1884.12}, {'date': datetime.date(2022, 1, 26), 'amount': 1327.22}]"
Richard Buck,"8102 Kathleen Field Apt. 201
West Jamesburgh, PR 84676",2024-10-08,Expired,110.28,MZSBJYMCL6XTT02YD,PR,Tesla,Tesla Model 3,Tesla Full Self-Driving,Camera,Tesla FSD Computer,5G Modem,Battery Pack,Electronic Brake Booster,Steering Actuator,39990,Online,2018,76061,1,Company Ownership,10865,"[11481, 9996, 9877, 11100, 11342, 11784, 10481]",1,12,Rental,[]
Jennifer Alexander,"560 Daniel Lane Suite 110
Port Denise, IL 52114",2024-10-02,Expired,163.15,S1GL3CNHRU1BUDRAE,IL,Mercedes-Benz,Mercedes-Benz S-Class,Mercedes-Benz Drive Pilot,LiDAR + Camera,NVIDIA Xavier,5G Modem,Inverter,ABS Module,Electric Power Steering,110000,Online,2020,55366,0,Personal Ownership,11073,"[10230, 12330, 11090, 11637, 10079]",0,8,Commercial,"[{'date': datetime.date(2024, 10, 28), 'amount': 3557.06}]"
Kenneth Gates,"17837 Green Ferry Suite 361
South Tammy, GU 40989",2024-09-15,Expired,121.1,CL1288X32U4DMRUK5,GU,Mercedes-Benz,Mercedes-Benz E-Class,Mercedes-Benz Drive Pilot,LiDAR + Camera,NVIDIA Xavier,5G Modem,Inverter,ABS Module,Electric Power Steering,54000,Online,2019,68741,1,Company Ownership,11456,"[11541, 11213, 12541, 12259, 11504, 9683]",2,5,Commercial,"[{'date': datetime.date(2024, 4, 12), 'amount': 4073.25}]"
Robert Anderson,"31131 Clark Drive
Port Jorgemouth, AL 93393",2024-10-22,Expired,146.24,22UEUJGBTS5G48MXN,AL,BMW,BMW 7 Series,BMW iDrive,Camera + Radar,NVIDIA Orin,Wi-Fi Module,Battery Pack,Electronic Brake Booster,Steering Actuator,87000,In-Vehicle Infotainment System,2022,28608,0,Personal Ownership,9536,"[8701, 9464, 10443]",0,2,Rental,"[{'date': datetime.date(2021, 7, 15), 'amount': 953.25}]"
Michael Villegas,"479 Sean Dam Suite 299
Juliabury, MP 46418",2024-10-08,Expired,110.73,W1Y0LF4WTJPRKUNTT,MP,Tesla,Tesla Cybertruck,Tesla Full Self-Driving,Camera,Tesla FSD Computer,5G Modem,Battery Pack,Electronic Brake Booster,Steering Actuator,39900,In-Vehicle Infotainment System,2018,75308,1,Personal Ownership,10758,"[11063, 10264, 11483, 11254, 11188, 10158, 9898]",0,6,Rental,"[{'date': datetime.date(2024, 2, 19), 'amount': 4921.74}, {'date': datetime.date(2023, 10, 1), 'amount': 1646.79}]"
Melissa Joseph,"7605 Norman Valleys Apt. 786
Port Davidtown, CT 29380",2024-10-23,Expired,151.41,3G9AE8E4VXK2X417U,CT,Tesla,Tesla Model X,Tesla Full Self-Driving,Camera,Tesla FSD Computer,5G Modem,Battery Pack,Electronic Brake Booster,Steering Actuator,89990,4S Stores,2020,49850,0,Company Ownership,9970,"[10541, 10020, 10212, 10218, 8859]",0,8,Rental,"[{'date': datetime.date(2024, 10, 28), 'amount': 4228.1}, {'date': datetime.date(2021, 12, 23), 'amount': 3314.57}, {'date': datetime.date(2022, 8, 5), 'amount': 2416.24}, {'date': datetime.date(2022, 8, 31), 'amount': 4180.63}]"
Stephanie Hill,"0111 Mosley Haven
Patelport, TX 30575",2024-10-20,Expired,130.5,H3W07VFRXMULAE1R2,TX,BMW,BMW X5 xDrive45e,BMW iDrive,Camera + Radar,NVIDIA Orin,Wi-Fi Module,Battery Pack,Electronic Brake Booster,Steering Actuator,65000,Online,2016,118084,0,Personal Ownership,13120,"[14007, 12534, 14220, 12352, 13587, 12045, 13678, 12673, 12988]",1,16,Personal,"[{'date': datetime.date(2024, 7, 23), 'amount': 1403.75}, {'date': datetime.date(2017, 7, 25), 'amount': 636.2}]"
Patrick Sutton,"Unit 4209 Box 6155
DPO AE 31971",2024-09-19,Expired,132.34,H8XPJ1XAWYK3JFAVV,AE,Audi,Audi e-tron,Audi AI,Radar + LiDAR,NVIDIA Jetson,5G Modem,Battery Pack,ABS Module,Electric Power Steering,66000,Agent,2017,94489,1,Personal Ownership,11811,"[12299, 12371, 11634, 12574, 11234, 11420, 10783, 12174]",2,14,Rental,"[{'date': datetime.date(2022, 7, 29), 'amount': 2401.77}, {'date': datetime.date(2022, 11, 4), 'amount': 782.68}]"
Bridget Wade,"55045 Montoya Crest Apt. 641
New Diane, CT 11913",2024-10-12,Expired,101.71000000000001,7NWXX9TAXH3S1G5RB,CT,BYD,BYD Seal,BYD DiPilot,LiDAR,NVIDIA Orin,Bluetooth Adapter,DC-DC Converter,ABS Module,Electric Power Steering,28000,4S Stores,2017,85513,0,Company Ownership,10689,"[11507, 10806, 9575, 11503, 10269, 11243, 10077, 10533]",0,14,Commercial,"[{'date': datetime.date(2021, 4, 19), 'amount': 2766.32}, {'date': datetime.date(2021, 10, 4), 'amount': 4582.3}]"
Zachary Wright,"1245 Howell Pass
Lake Amyton, DC 26919",2024-10-13,Expired,105.48,MMZU6C081WVPXY81A,DC,BYD,BYD Song Plus,BYD DiPilot,LiDAR,NVIDIA Orin,Bluetooth Adapter,DC-DC Converter,ABS Module,Electric Power Steering,32000,Agent,2017,86546,0,Personal Ownership,10818,"[10063, 11083, 9948, 10066, 11732, 10833, 11037, 11784]",4,7,Commercial,"[{'date': datetime.date(2018, 1, 4), 'amount': 1431.21}, {'date': datetime.date(2024, 10, 28), 'amount': 4898.04}, {'date': datetime.date(2020, 2, 29), 'amount': 1643.6}, {'date': datetime.date(2020, 4, 29), 'amount': 2127.57}]"
Melinda Fleming,"6503 Jacob Prairie
Port Rhonda, VI 68481",2024-09-20,Expired,131.39,E7S7MAHLEZ2FX1S7N,VI,Mercedes-Benz,Mercedes-Benz EQC,Mercedes-Benz Drive Pilot,LiDAR + Camera,NVIDIA Xavier,5G Modem,Inverter,ABS Module,Electric Power Steering,67000,Online,2017,84159,1,Company Ownership,10519,"[10311, 10819, 10647, 9869, 11151, 9688, 10254, 11420]",1,7,Personal,"[{'date': datetime.date(2021, 6, 25), 'amount': 3117.36}]"
Rodney Brown,"29247 Jay Canyon Suite 190
Jacksonfurt, PW 03993",2024-09-09,Expired,104.51,6HFR2NK85X0CBD5B7,PW,BYD,BYD Song Plus,BYD DiPilot,LiDAR,NVIDIA Orin,Bluetooth Adapter,DC-DC Converter,ABS Module,Electric Power Steering,32000,Online,2015,123217,2,Personal Ownership,12321,"[12159, 11654, 11969, 12490, 11695, 13465, 12446, 13149, 12936, 11254]",1,18,Rental,"[{'date': datetime.date(2020, 4, 7), 'amount': 2039.15}, {'date': datetime.date(2024, 1, 1), 'amount': 1653.82}]"
Dr. Jeff Mcintosh MD,"4447 Weaver Port Apt. 489
West Rachelbury, CT 88719",2024-10-14,Expired,144.55,ZWUMX519F159BMMY1,CT,Audi,Audi A8 L,Audi AI,Radar + LiDAR,NVIDIA Jetson,5G Modem,Battery Pack,ABS Module,Electric Power Steering,86000,4S Stores,2020,57134,0,Company Ownership,11426,"[10548, 12225, 11352, 10778, 12231]",1,4,Commercial,"[{'date': datetime.date(2018, 7, 18), 'amount': 4159.7}, {'date': datetime.date(2023, 4, 22), 'amount': 1973.78}]"
Donald Espinoza,"942 Norris Prairie Apt. 210
Port Michaelchester, KS 11253",2024-09-29,Expired,101.48,NW1EMM60N42CPZNJS,KS,BYD,BYD Seal,BYD DiPilot,LiDAR,NVIDIA Orin,Bluetooth Adapter,DC-DC Converter,ABS Module,Electric Power Steering,28000,4S Stores,2022,26128,0,Company Ownership,8709,"[8497, 9687, 7944]",0,2,Personal,"[{'date': datetime.date(2022, 12, 6), 'amount': 3549.08}]"
Kristen Griffin,"05066 Reed Plains Suite 733
Port Kathryn, MN 28858",2024-10-25,Expired,110.68,FPRRDZSU01DGPBZ2W,MN,Tesla,Tesla Cybertruck,Tesla Full Self-Driving,Camera,Tesla FSD Computer,5G Modem,Battery Pack,Electronic Brake Booster,Steering Actuator,39900,In-Vehicle Infotainment System,2014,144961,0,Company Ownership,13178,"[12712, 13484, 14404, 12886, 11857, 12543, 13600, 13352, 14241, 12793, 13089]",1,20,Personal,"[{'date': datetime.date(2024, 7, 25), 'amount': 593.88}, {'date': datetime.date(2018, 7, 26), 'amount': 991.62}]"
Susan Richmond,"18075 Peter Road Apt. 774
Lake Andrew, VA 54459",2024-09-11,Expired,104.13,0JADMKHF2H799C3XM,VA,BYD,BYD Song Plus,BYD DiPilot,LiDAR,NVIDIA Orin,Bluetooth Adapter,DC-DC Converter,ABS Module,Electric Power Steering,32000,In-Vehicle Infotainment System,2023,13129,0,Personal Ownership,6564,"[6012, 7117]",0,2,Personal,"[{'date': datetime.date(2018, 8, 4), 'amount': 1882.08}]"
Tara Mcdaniel,"225 Leslie Ville Suite 858
Danieltown, MA 87014",2024-10-19,Expired,160.64,2ENZZHMZ31916B942,MA,Mercedes-Benz,Mercedes-Benz EQS,Mercedes-Benz Drive Pilot,LiDAR + Camera,NVIDIA Xavier,5G Modem,Inverter,ABS Module,Electric Power Steering,102000,4S Stores,2017,90786,0,Company Ownership,11348,"[11108, 11024, 12345, 12157, 11487, 10251, 11086, 11328]",3,7,Personal,[]
George Strickland,"8283 Donna Forks
Camachotown, OK 75201",2024-10-10,Expired,95.34,2JV5VHPUFC7S2A5EV,OK,BYD,BYD Dolphin,BYD DiPilot,LiDAR,NVIDIA Orin,Bluetooth Adapter,DC-DC Converter,ABS Module,Electric Power Steering,20000,4S Stores,2022,29322,0,Company Ownership,9774,"[10335, 9081, 9906]",0,4,Rental,"[{'date': datetime.date(2015, 8, 16), 'amount': 3471.73}]"
Christian Barton,"68942 Barnes Motorway
Port Zacharyton, RI 64843",2024-10-15,Expired,118.62,T29TYT0TCRL6ZH3L2,RI,NIO,NIO EC6,NIO Pilot,LiDAR,NVIDIA Orin,5G Modem,Battery Pack,Electronic Brake Booster,Steering Actuator,49000,Agent,2015,116063,0,Company Ownership,11606,"[12747, 12284, 11545, 11052, 10939, 11835, 10455, 11144, 11172, 12890]",2,18,Commercial,[]
Heather Roach,"185 Hannah Neck
Marctown, GU 36797",2024-10-01,Expired,171.63,FRGPJR9N0K6C8GV5D,GU,BMW,BMW i7,BMW iDrive,Camera + Radar,NVIDIA Orin,Wi-Fi Module,Battery Pack,Electronic Brake Booster,Steering Actuator,120000,Online,2017,97438,0,Personal Ownership,12179,"[13301, 12733, 10940, 11886, 12929, 12448, 12354, 10847]",2,14,Personal,"[{'date': datetime.date(2023, 11, 25), 'amount': 3927.27}, {'date': datetime.date(2020, 7, 18), 'amount': 844.97}, {'date': datetime.date(2022, 5, 11), 'amount': 4000.36}]"
Isaac Torres,"865 Rivera Fields Suite 996
Lake Zachary, FM 17858",2024-09-16,Expired,105.43,HM07ANAX89DWYW3VU,FM,BYD,BYD Song Plus,BYD DiPilot,LiDAR,NVIDIA Orin,Bluetooth Adapter,DC-DC Converter,ABS Module,Electric Power Steering,32000,Online,2018,88297,0,Company Ownership,12613,"[13523, 12267, 11551, 12713, 11830, 12249, 14164]",1,6,Commercial,"[{'date': datetime.date(2020, 4, 13), 'amount': 2403.14}]"
Samantha Spencer,"763 Kenneth Shoals
Harrisonport, PR 60714",2024-10-09,Expired,138.03,JM5RSWYKS2VAY18AM,PR,Mercedes-Benz,Mercedes-Benz GLS,Mercedes-Benz Drive Pilot,LiDAR + Camera,NVIDIA Xavier,5G Modem,Inverter,ABS Module,Electric Power Steering,76000,Online,2024,0,0,Personal Ownership,0,[0],0,0,Rental,"[{'date': datetime.date(2024, 10, 28), 'amount': 4291.6}, {'date': datetime.date(2022, 8, 26), 'amount': 3546.1}, {'date': datetime.date(2024, 9, 19), 'amount': 3867.98}]"
Jason Brooks,"49439 Susan Common
New Sherry, GU 85726",2024-09-12,Expired,115.42,MWTSNRP4PBZ3GEBPU,GU,Audi,Audi Q4 e-tron,Audi AI,Radar + LiDAR,NVIDIA Jetson,5G Modem,Battery Pack,ABS Module,Electric Power Steering,45000,4S Stores,2017,103067,0,Personal Ownership,12883,"[12418, 12389, 11969, 12154, 12394, 13498, 14995, 13250]",2,7,Rental,"[{'date': datetime.date(2022, 1, 27), 'amount': 856.13}]"
Jack Herrera,"6413 Perez Terrace
Blakeberg, CA 09326",2024-10-20,Expired,132.2,2V5FLN0FUT5U6KJVL,CA,Audi,Audi e-tron,Audi AI,Radar + LiDAR,NVIDIA Jetson,5G Modem,Battery Pack,ABS Module,Electric Power Steering,66000,4S Stores,2022,26679,0,Company Ownership,8893,"[9679, 9136, 7864]",2,2,Personal,[]
Alexis Pugh,"691 Johnson Locks Apt. 043
Lake Elizabethburgh, GU 03339",2024-09-20,Expired,102.16,J1XKNSSNJK6A9MYCN,GU,BYD,BYD Seal,BYD DiPilot,LiDAR,NVIDIA Orin,Bluetooth Adapter,DC-DC Converter,ABS Module,Electric Power Steering,28000,Agent,2017,85937,0,Company Ownership,10742,"[9772, 10670, 11308, 10274, 10529, 12170, 11285, 9929]",1,14,Personal,"[{'date': datetime.date(2022, 6, 27), 'amount': 705.92}]"
Robert Hendricks,"909 Daniel Squares Suite 589
Michaelport, GU 34966",2024-10-25,Expired,145.36,82H1K5LU2CZVZ3MEH,GU,BMW,BMW iX,BMW iDrive,Camera + Radar,NVIDIA Orin,Wi-Fi Module,Battery Pack,Electronic Brake Booster,Steering Actuator,83000,4S Stores,2021,36457,0,Company Ownership,9114,"[9804, 8010, 9649, 8994]",1,3,Personal,"[{'date': datetime.date(2024, 2, 1), 'amount': 3416.24}, {'date': datetime.date(2023, 3, 23), 'amount': 3990.7}, {'date': datetime.date(2024, 9, 22), 'amount': 2108.96}, {'date': datetime.date(2024, 10, 28), 'amount': 3704.29}]"
Victoria Huff,"29241 Karen Mountains Apt. 137
Jeffreyfort, MD 95388",2024-09-10,Expired,102.14,740Z1LG38W955ZPD8,MD,BYD,BYD Seal,BYD DiPilot,LiDAR,NVIDIA Orin,Bluetooth Adapter,DC-DC Converter,ABS Module,Electric Power Steering,28000,Agent,2020,51596,0,Personal Ownership,10319,"[9960, 10048, 10681, 11046, 9861]",0,8,Rental,"[{'date': datetime.date(2018, 2, 9), 'amount': 2017.64}, {'date': datetime.date(2020, 3, 31), 'amount': 2199.87}]"
Sherry Hoffman,"PSC 2376, Box 6835
APO AP 32606",2024-09-27,Expired,101.64,18X75E2SF26UAURX8,AP,BYD,BYD Seal,BYD DiPilot,LiDAR,NVIDIA Orin,Bluetooth Adapter,DC-DC Converter,ABS Module,Electric Power Steering,28000,Agent,2017,86581,1,Personal Ownership,10822,"[11100, 11310, 10907, 10899, 10710, 10942, 10126, 10587]",0,7,Rental,"[{'date': datetime.date(2022, 2, 5), 'amount': 2595.26}]"
Dr. Caitlin Macdonald,"620 Nelson Divide
West Michael, AS 21518",2024-10-23,Expired,134.22,FDLK08E8RFAC2SS38,AS,Audi,Audi A6 e-tron,Audi AI,Radar + LiDAR,NVIDIA Jetson,5G Modem,Battery Pack,ABS Module,Electric Power Steering,70000,Agent,2019,63482,1,Personal Ownership,10580,"[10509, 10213, 9772, 10586, 11946, 10456]",3,5,Personal,"[{'date': datetime.date(2024, 10, 28), 'amount': 3938.61}, {'date': datetime.date(2022, 10, 6), 'amount': 3776.19}]"
Krista Stevens,"839 Manuel Overpass Apt. 113
New Barry, GA 93975",2024-09-20,Expired,119.94,G1R49KCL1CTC3GCDU,GA,Tesla,Tesla Model Y,Tesla Full Self-Driving,Camera,Tesla FSD Computer,5G Modem,Battery Pack,Electronic Brake Booster,Steering Actuator,49990,4S Stores,2024,0,0,Company Ownership,0,[0],0,0,Rental,"[{'date': datetime.date(2022, 8, 4), 'amount': 2233.21}, {'date': datetime.date(2021, 9, 3), 'amount': 2465.63}, {'date': datetime.date(2024, 10, 3), 'amount': 3857.26}]"
Jeanne Smith,"6972 Casey Pines Apt. 241
Port Amy, DE 54192",2024-09-08,Expired,130.96,VNY6NPKBAFA9XFSPC,DE,Mercedes-Benz,Mercedes-Benz EQC,Mercedes-Benz Drive Pilot,LiDAR + Camera,NVIDIA Xavier,5G Modem,Inverter,ABS Module,Electric Power Steering,67000,4S Stores,2017,84794,0,Company Ownership,10599,"[10181, 9789, 10693, 10691, 9883, 11112, 11675, 10770]",2,7,Personal,[]
Timothy Holmes,"395 Brandon Junction Suite 522
Williamchester, DE 19039",2024-10-23,Expired,104.62,JR8VKMHED6P3P3E0N,DE,BYD,BYD Song Plus,BYD DiPilot,LiDAR,NVIDIA Orin,Bluetooth Adapter,DC-DC Converter,ABS Module,Electric Power Steering,32000,In-Vehicle Infotainment System,2019,70133,0,Personal Ownership,11688,"[11713, 10953, 11485, 10828, 13209, 11945]",3,5,Rental,"[{'date': datetime.date(2024, 10, 28), 'amount': 4933.84}]"
Gabriel Graham,"88197 Jason Hills
North Anna, WI 10099",2024-09-24,Expired,119.84,93PEC3JBMKRVWMSX2,WI,Tesla,Tesla Model Y,Tesla Full Self-Driving,Camera,Tesla FSD Computer,5G Modem,Battery Pack,Electronic Brake Booster,Steering Actuator,49990,4S Stores,2024,0,0,Personal Ownership,0,[0],0,0,Personal,"[{'date': datetime.date(2018, 3, 7), 'amount': 2295.63}, {'date': datetime.date(2021, 10, 24), 'amount': 2081.04}]"
Jeffrey Gonzalez,"4997 Darren Drive
West Craig, WY 64206",2024-09-29,Expired,134.96,89R6W3PGWCNTZETD3,WY,Audi,Audi A6 e-tron,Audi AI,Radar + LiDAR,NVIDIA Jetson,5G Modem,Battery Pack,ABS Module,Electric Power Steering,70000,4S Stores,2017,99964,0,Company Ownership,12495,"[11524, 11863, 13520, 12445, 13283, 11568, 11678, 14083]",1,7,Personal,[]
Nicholas Todd,"34973 Contreras Pine Suite 734
South Steve, LA 32560",2024-10-19,Expired,124.63,2XK5T89FJLWMRP7EH,LA,BMW,BMW i4,BMW iDrive,Camera + Radar,NVIDIA Orin,Wi-Fi Module,Battery Pack,Electronic Brake Booster,Steering Actuator,56000,4S Stores,2018,74243,0,Company Ownership,10606,"[10182, 9635, 11150, 10356, 11260, 11023, 10637]",3,12,Personal,"[{'date': datetime.date(2022, 1, 6), 'amount': 934.17}, {'date': datetime.date(2024, 10, 10), 'amount': 4411.48}]"
Megan Riley,"851 Jason Bridge
Robertsfurt, MO 70527",2024-10-03,Expired,105.26,RHWVB70TC49SJ71KE,MO,BYD,BYD Song Plus,BYD DiPilot,LiDAR,NVIDIA Orin,Bluetooth Adapter,DC-DC Converter,ABS Module,Electric Power Steering,32000,4S Stores,2023,12219,0,Personal Ownership,6109,"[6563, 5656]",0,2,Rental,[]
Brenda Wright,"0588 Parks Lane Apt. 831
Lake Christopher, MS 47024",2024-10-18,Expired,131.23,LCGAKZ5SDN1T6MMG5,MS,BMW,BMW X5 xDrive45e,BMW iDrive,Camera + Radar,NVIDIA Orin,Wi-Fi Module,Battery Pack,Electronic Brake Booster,Steering Actuator,65000,Online,2019,60067,0,Personal Ownership,10011,"[9547, 10525, 10054, 10713, 9279, 9949]",2,5,Commercial,"[{'date': datetime.date(2024, 10, 28), 'amount': 2822.65}]"
Ashley Perez,"05139 Donald Wall Apt. 504
Taraberg, VI 02184",2024-09-16,Expired,145.32,5MT30MNHWF8ZFET5L,VI,BMW,BMW 7 Series,BMW iDrive,Camera + Radar,NVIDIA Orin,Wi-Fi Module,Battery Pack,Electronic Brake Booster,Steering Actuator,87000,Agent,2015,131107,2,Company Ownership,13110,"[14344, 12203, 13024, 13481, 13822, 13858, 12642, 11658, 12790, 13285]",2,9,Rental,"[{'date': datetime.date(2022, 6, 11), 'amount': 4430.64}]"
Mary Dunn,"6473 Haley Via Apt. 520
North Josechester, PR 79097",2024-10-06,Expired,130.72,L912TR0JKW2GN1G19,PR,BMW,BMW X5 xDrive45e,BMW iDrive,Camera + Radar,NVIDIA Orin,Wi-Fi Module,Battery Pack,Electronic Brake Booster,Steering Actuator,65000,4S Stores,2018,74283,0,Company Ownership,10611,"[11572, 11021, 10528, 10321, 9509, 9982, 11350]",0,6,Rental,"[{'date': datetime.date(2021, 9, 18), 'amount': 1352.86}, {'date': datetime.date(2023, 6, 19), 'amount': 768.54}]"
Jackie Collins,"31438 Barbara Spring Suite 908
East Stacyville, NV 42618",2024-09-11,Expired,103.74,JSVDB50WN08KWBRUC,NV,BYD,BYD Han,BYD DiPilot,LiDAR,NVIDIA Orin,Bluetooth Adapter,DC-DC Converter,ABS Module,Electric Power Steering,30000,Online,2020,59485,0,Company Ownership,11897,"[10971, 13015, 10657, 13485, 11357]",1,8,Rental,"[{'date': datetime.date(2022, 7, 23), 'amount': 4057.1}, {'date': datetime.date(2021, 10, 28), 'amount': 1159.45}, {'date': datetime.date(2016, 1, 8), 'amount': 2763.17}, {'date': datetime.date(2024, 7, 30), 'amount': 1512.99}]"
Jennifer Taylor,"392 Linda Viaduct
West Joshuaburgh, WV 16608",2024-10-12,Expired,157.95999999999998,7W9X45Y90FVABC490,WV,Mercedes-Benz,Mercedes-Benz EQS,Mercedes-Benz Drive Pilot,LiDAR + Camera,NVIDIA Xavier,5G Modem,Inverter,ABS Module,Electric Power Steering,102000,4S Stores,2022,34896,0,Personal Ownership,11632,"[12710, 11286, 10900]",0,2,Commercial,"[{'date': datetime.date(2023, 2, 26), 'amount': 512.55}, {'date': datetime.date(2024, 4, 20), 'amount': 2895.42}]"
Lisa Camacho,"53206 Ashley Pine
Lake Davidstad, MD 87841",2024-10-22,Expired,160.44,KMW6MZ84UHWM19ZMB,MD,Mercedes-Benz,Mercedes-Benz EQS,Mercedes-Benz Drive Pilot,LiDAR + Camera,NVIDIA Xavier,5G Modem,Inverter,ABS Module,Electric Power Steering,102000,4S Stores,2019,73789,0,Personal Ownership,12298,"[12888, 11885, 12844, 12377, 11305, 12490]",3,5,Rental,[]
Logan Massey,"694 Regina Way Suite 091
Port Timothy, MA 35408",2024-10-24,Expired,103.11,F2D50S9X3BDKAFL7X,MA,BYD,BYD Han,BYD DiPilot,LiDAR,NVIDIA Orin,Bluetooth Adapter,DC-DC Converter,ABS Module,Electric Power Steering,30000,Online,2018,82453,1,Personal Ownership,11779,"[12176, 12446, 10493, 11994, 12046, 12684, 10614]",1,6,Rental,"[{'date': datetime.date(2019, 8, 29), 'amount': 1854.81}]"
Sergio Harvey,"USNS Jones
FPO AP 37678",2024-10-21,Expired,114.2,A7AVY2MZPETKDZ353,AP,Audi,Audi Q4 e-tron,Audi AI,Radar + LiDAR,NVIDIA Jetson,5G Modem,Battery Pack,ABS Module,Electric Power Steering,45000,4S Stores,2021,36090,0,Personal Ownership,9022,"[8752, 8409, 10291, 8638]",0,3,Rental,"[{'date': datetime.date(2024, 10, 28), 'amount': 3093.22}, {'date': datetime.date(2015, 3, 21), 'amount': 2275.4}, {'date': datetime.date(2023, 1, 13), 'amount': 4120.31}]"
Brandon Cooper,"6270 Jeffrey Lakes Apt. 166
North Ginaborough, FL 71109",2024-09-15,Expired,101.38,GWAKBXEXCG0M18928,FL,BYD,BYD Seal,BYD DiPilot,LiDAR,NVIDIA Orin,Bluetooth Adapter,DC-DC Converter,ABS Module,Electric Power Steering,28000,In-Vehicle Infotainment System,2019,70747,0,Company Ownership,11791,"[11954, 11897, 11287, 12280, 10962, 12367]",2,10,Commercial,[]
Amy Clark,"3814 Harper Spur Apt. 438
New Paul, NH 20715",2024-10-08,Expired,130.13,HP4GKSJ0JEWSMJ8NH,NH,Audi,Audi e-tron,Audi AI,Radar + LiDAR,NVIDIA Jetson,5G Modem,Battery Pack,ABS Module,Electric Power Steering,66000,In-Vehicle Infotainment System,2018,79602,1,Personal Ownership,11371,"[10320, 11371, 10711, 11670, 10857, 11224, 13449]",1,6,Personal,"[{'date': datetime.date(2016, 6, 17), 'amount': 3731.47}, {'date': datetime.date(2021, 10, 10), 'amount': 4085.58}]"
Jacob Young,"2916 Davis Stream
Lake Matthewtown, DC 20533",2024-09-26,Expired,110.96000000000001,TT0R029LJ9L8B00FN,DC,Tesla,Tesla Cybertruck,Tesla Full Self-Driving,Camera,Tesla FSD Computer,5G Modem,Battery Pack,Electronic Brake Booster,Steering Actuator,39900,Agent,2020,49733,1,Personal Ownership,9946,"[9519, 10182, 10909, 9213, 9910]",1,4,Commercial,"[{'date': datetime.date(2024, 2, 22), 'amount': 1153.0}]"
Justin Wheeler,"8180 Smith Ridge Suite 845
Obrienland, PR 85968",2024-10-04,Expired,158.23000000000002,FCE9EH0LAE41ABH5S,PR,Mercedes-Benz,Mercedes-Benz EQS,Mercedes-Benz Drive Pilot,LiDAR + Camera,NVIDIA Xavier,5G Modem,Inverter,ABS Module,Electric Power Steering,102000,Online,2021,38605,0,Company Ownership,9651,"[10377, 10263, 8297, 9668]",0,3,Commercial,"[{'date': datetime.date(2023, 4, 30), 'amount': 2172.78}]"
Amy Welch,"PSC 8800, Box 2941
APO AP 50147",2024-10-19,Expired,143.62,E7JN31ADST43ZY580,AP,BMW,BMW iX,BMW iDrive,Camera + Radar,NVIDIA Orin,Wi-Fi Module,Battery Pack,Electronic Brake Booster,Steering Actuator,83000,4S Stores,2022,25948,0,Personal Ownership,8649,"[8447, 9329, 8172]",2,2,Personal,"[{'date': datetime.date(2024, 8, 12), 'amount': 4425.73}, {'date': datetime.date(2019, 1, 8), 'amount': 3031.51}]"
Valerie Martinez,"163 Amanda Summit Suite 772
South Crystalbury, FM 17337",2024-10-09,Expired,145.51999999999998,HRVMNYJFXTNMKXRKE,FM,BMW,BMW iX,BMW iDrive,Camera + Radar,NVIDIA Orin,Wi-Fi Module,Battery Pack,Electronic Brake Booster,Steering Actuator,83000,4S Stores,2017,84514,2,Personal Ownership,10564,"[10105, 11577, 9952, 10618, 10892, 10741, 10619, 10010]",3,14,Rental,"[{'date': datetime.date(2024, 10, 28), 'amount': 4161.44}]"
Kristin Cervantes,"14155 Morris Field
Lake Anthony, DC 72713",2024-09-12,Expired,130.16,YX1NV76N1JLJ6B2DU,DC,BMW,BMW X5 xDrive45e,BMW iDrive,Camera + Radar,NVIDIA Orin,Wi-Fi Module,Battery Pack,Electronic Brake Booster,Steering Actuator,65000,Online,2015,114745,1,Company Ownership,11474,"[11672, 10970, 11087, 12480, 10624, 12080, 12114, 10950, 10556, 12212]",1,9,Rental,"[{'date': datetime.date(2024, 10, 9), 'amount': 3849.47}, {'date': datetime.date(2022, 10, 19), 'amount': 2946.22}, {'date': datetime.date(2023, 10, 10), 'amount': 3762.81}]"
Joseph Stephenson,"0184 Thomas Ramp Suite 933
Cherylburgh, NV 83413",2024-10-11,Expired,101.96000000000001,275L19VENNKTDRVUH,NV,BYD,BYD Seal,BYD DiPilot,LiDAR,NVIDIA Orin,Bluetooth Adapter,DC-DC Converter,ABS Module,Electric Power Steering,28000,4S Stores,2014,128222,2,Company Ownership,11656,"[12646, 12362, 12254, 12205, 10368, 11956, 11774, 10612, 12143, 11051, 10851]",2,20,Personal,"[{'date': datetime.date(2022, 11, 23), 'amount': 3330.38}, {'date': datetime.date(2019, 8, 21), 'amount': 3276.45}]"
